date,forecast_gold_999,gold_usd_close_forecast,usdinr_close_forecast,gold_inr_proxy,days_to_diwali,is_near_diwali
2026-09-02,141292.29224743822,4346.018898442757,95.30717948884038,414206.80321577616,67,0
2026-09-03,140068.12262066262,4351.898801462311,95.47529717329869,415498.8313377365,66,0
2026-09-04,138995.1783698973,4347.07270878403,95.61102942812094,415628.09668573126,65,0
2026-09-07,139461.73040276254,4346.387576722714,95.70614864123816,415976.01547025493,62,0
2026-09-08,140370.59849035594,4345.844452476511,95.80116117397867,416336.9448287433,61,0
2026-09-09,141015.6311557644,4344.246085264943,95.89813577828677,416605.10093902826,60,0
2026-09-10,140698.88932455174,4343.006749994416,95.99375009548325,416901.50462196086,59,0
2026-09-11,140110.16054675542,4341.793174225013,96.08485754362732,417180.57862930384,58,0
2026-09-14,140618.89716792107,4340.477730976794,96.17187185897339,417431.8681502278,55,0
2026-09-15,140059.75958643702,4339.183268807094,96.25564144259621,417670.8688760082,54,0
2026-09-16,139740.55103660643,4337.882252785527,96.33661047911274,417896.87289085536,53,0
2026-09-17,139574.9570460067,4336.562425201344,96.41487976579418,418109.14482264844,52,0
2026-09-18,139756.73231496575,4335.234941439923,96.49054129043785,418309.1661207578,51,0
2026-09-21,139384.3955514629,4333.897829374225,96.56374263421999,418497.3945986973,48,0
2026-09-22,140240.5507690161,4332.550134553586,96.63464805817328,418674.4574469771,47,0
2026-09-23,140448.33383835852,4331.1930638792355,96.70340575353684,418841.1202532181,46,0
2026-09-24,142090.90790013527,4329.826677210001,96.77014720790334,418997.9649383188,45,0
2026-09-25,142244.67760167905,4328.451090584609,96.83499436883659,419145.5369825452,44,0
2026-09-28,142717.49037726648,4327.0666143943245,96.89806295815077,419284.3732256936,41,0
2026-09-29,142774.37790567323,4325.673454635575,96.95946236155518,419414.9725131164,40,0
2026-09-30,142378.66661859618,4324.271814819433,97.01929524069371,419537.8039029769,39,0
2026-10-01,144449.78798011027,4322.86191155024,97.0776577753141,419653.30925941427,38,0
2026-10-02,143402.91263418476,4321.443947738645,97.13464018024078,419761.9029226725,37,0
2026-10-05,143710.0804458054,4320.018121294004,97.19032715192117,419863.9745107921,34,0
2026-10-06,143653.41913427442,4318.584626899037,97.24479820881098,419959.8905904701,33,0
2026-10-07,143438.2295623811,4317.143653714085,97.29812799135561,420049.9957761417,32,0
2026-10-08,143391.7043391299,4315.6953862119235,97.35038655472592,420134.6141001779,31,0
2026-10-09,143401.78798577742,4314.240004463865,97.40163965196079,420214.0502868631,30,1
2026-10-12,143757.80631222314,4312.777684035786,97.45194900017043,420288.5909137285,27,1
2026-10-13,143728.997578345,4311.30859615733,97.50137252863992,420358.5055198634,26,1
2026-10-14,143349.57822221983,4309.832907846128,97.54996461097981,420424.047639626,25,1
2026-10-15,143367.05665120366,4308.350781992765,97.59777628317069,420485.4557703534,24,1
2026-10-16,140578.54611096176,4306.8623774674115,97.6448554484402,420542.9542841309,23,1
2026-10-19,140621.31718886964,4305.367849220754,97.69124706960818,420596.75428377226,20,1
2026-10-20,140845.33477166388,4303.867348379033,97.73699334959174,420647.0544060466,19,1
2026-10-21,140754.47202409303,4302.361022338812,97.78213390080816,420694.0415759516,18,1
2026-10-22,141002.84800655872,4300.849014859199,97.8267059041796,420737.89171491144,17,1
2026-10-23,141259.49167532055,4299.331466151453,97.8707442583828,420778.77040572686,16,1
2026-10-26,141643.5865259127,4297.80851296658,97.91428171993901,420816.83351696184,13,1
2026-10-27,141520.73318085272,4296.280288680739,97.95734903470469,420852.22778922104,12,1
2026-10-28,141607.57727917342,4294.746923378523,97.99997506129043,420885.09138564905,11,1
2026-10-29,141574.83585642598,4293.208543934183,98.04218688690382,420915.55440884735,10,1
2026-10-30,141519.6334632432,4291.6652740908685,98.08400993608198,420943.73938626674,9,1
2026-11-02,141857.29161976994,4290.117234537893,98.1254680727499,420969.7617260021,6,1
2026-11-03,141954.04773306614,4288.564542986093,98.16658369601397,420993.73014480225,5,1
2026-11-04,142008.08843690145,4287.007314241348,98.20737783007584,421015.7470699987,4,1
2026-11-05,142185.0037532046,4285.445660276257,98.24787020862688,421035.909016945,3,1
2026-11-06,142180.23308982444,4283.879690300068,98.28807935406252,421054.3069434699,2,1
2026-11-09,142704.58121522825,4282.309510826875,98.3280226518341,421071.0265827496,-1,1
