gold_usd_open,gold_usd_high,gold_usd_low,gold_usd_close,gold_usd_volume,usdinr_open,usdinr_high,usdinr_low,usdinr_close,day_of_week,day_of_month,month,quarter,day_of_year,week_of_year,is_month_start,is_month_end,days_to_diwali,is_near_diwali,gold_lag_1,gold_lag_2,gold_lag_3,gold_lag_5,gold_lag_7,gold_lag_14,gold_ma_3,gold_ma_7,gold_ma_14,gold_ma_30,gold_return_1d,gold_return_3d,gold_return_7d,gold_volatility_7,gold_volatility_14,gold_volatility_30,gold_usd_return_1d,usdinr_return_1d,gold_usd_return_3d,usdinr_return_3d,gold_usd_return_7d,usdinr_return_7d,gold_usd_volatility_7,usdinr_volatility_7,gold_usd_volatility_14,usdinr_volatility_14,gold_inr_proxy
3485.699951171875,3559.199951171875,3485.699951171875,3549.39990234375,658.0,88.00140380859375,88.18800354003906,87.81549835205078,88.00140380859375,1.0,2.0,9.0,3.0,245.0,36.0,0.0,0.0,432.0,0.0,126905.0,126628.5,126583.25,126438.5,126190.75,125230.5,127059.33333333334,126291.64285714286,125244.10714285714,125778.0,0.2485664572422941,0.927258310818746,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,0.3406859796114769,0.03046463655379525,0.4034088093635368,0.0785668347411561,2.028547110027712,0.26098709346527027,1.1640669310187617,0.2702492200832476,1.3288659829409537,0.34879579568678176,312352.1740843356
3554.800048828125,3593.699951171875,3553.199951171875,3593.199951171875,72.0,87.99829864501953,88.17980194091797,87.9749984741211,87.99829864501953,2.0,3.0,9.0,3.0,246.0,36.0,0.0,0.0,431.0,0.0,104543.0,126628.5,126583.25,126438.5,126190.75,125230.5,127059.33333333334,126291.64285714286,125244.10714285714,125778.0,0.2485664572422941,0.927258310818746,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,1.2340127918300414,-0.0035285386821515,0.4034088093635368,0.0785668347411561,2.028547110027712,0.26098709346527027,1.1640669310187617,0.2702492200832476,1.3288659829409537,0.34879579568678176,316195.48239449225
3549.89990234375,3573.60009765625,3549.89990234375,3565.800048828125,237.0,88.072998046875,88.36029815673828,87.9749984741211,88.072998046875,3.0,4.0,9.0,3.0,247.0,36.0,0.0,0.0,430.0,0.0,105829.5,104543.0,126583.25,126438.5,126190.75,125230.5,127059.33333333334,126291.64285714286,125244.10714285714,125778.0,1.2305941096008244,0.927258310818746,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,-0.7625487786955487,0.0848873251025006,0.4034088093635368,0.0785668347411561,2.028547110027712,0.26098709346527027,1.1640669310187617,0.2702492200832476,1.3288659829409537,0.34879579568678176,314050.70073598623
3567.800048828125,3613.199951171875,3567.800048828125,3613.199951171875,925.0,88.19290161132812,88.35340118408203,87.80010223388672,88.19290161132812,4.0,5.0,9.0,3.0,248.0,36.0,0.0,0.0,429.0,0.0,105848.0,105829.5,104543.0,126438.5,126190.75,125230.5,105406.83333333331,126291.64285714286,125244.10714285714,125778.0,0.017480948128834,0.927258310818746,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,1.329292211977151,0.1361411182906557,1.797488324321983,0.2176076681127625,2.028547110027712,0.26098709346527027,1.1640669310187617,0.2702492200832476,1.3288659829409537,0.34879579568678176,318658.5877957568
3594.5,3641.0,3590.0,3638.10009765625,97.0,88.1863021850586,88.2229995727539,87.82779693603516,88.1863021850586,0.0,8.0,9.0,3.0,251.0,37.0,0.0,0.0,426.0,0.0,106392.0,105848.0,105829.5,126438.5,126190.75,125230.5,106023.16666666669,126291.64285714286,125244.10714285714,125778.0,0.5139445242234197,1.7686502204834476,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,0.6891438841157616,-0.0074829449410951,1.2495866384984122,0.2136445169212297,2.028547110027712,0.26098709346527027,1.1640669310187617,0.2702492200832476,1.3288659829409537,0.34879579568678176,320830.59459140524
3647.10009765625,3670.39990234375,3627.800048828125,3643.300048828125,535.0,87.98049926757812,88.21929931640625,87.90010070800781,87.98049926757812,1.0,9.0,9.0,3.0,252.0,37.0,0.0,0.0,425.0,0.0,107674.5,106392.0,105848.0,104543.0,126190.75,125230.5,106638.16666666669,126291.64285714286,125244.10714285714,125778.0,1.2054477780284234,1.7433702323076172,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,0.1429304041201229,-0.2333728848824989,2.173425288539943,-0.1050251284140935,2.028547110027712,0.26098709346527027,1.1640669310187617,0.2702492200832476,1.3288659829409537,0.34879579568678176,320539.3572774902
3625.0,3655.39990234375,3620.800048828125,3643.60009765625,136.0,88.21829986572266,88.24929809570312,87.97789764404297,88.21829986572266,2.0,10.0,9.0,3.0,253.0,37.0,0.0,0.0,424.0,0.0,109309.0,107674.5,106392.0,105829.5,126190.75,125230.5,107791.83333333331,126291.64285714286,125244.10714285714,125778.0,1.518001012310255,3.269783085178757,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,0.0082356331925437,0.270287848016526,0.8413635252739082,0.0287985245189803,2.028547110027712,0.26098709346527027,1.1640669310187617,0.2702492200832476,1.3288659829409537,0.34879579568678176,321432.2060058154
3632.89990234375,3636.89990234375,3618.39990234375,3636.89990234375,307.0,88.05339813232422,88.49099731445312,88.02660369873047,88.05339813232422,3.0,11.0,9.0,3.0,254.0,37.0,0.0,0.0,423.0,0.0,109522.0,109309.0,107674.5,105848.0,104543.0,125230.5,108835.16666666669,107016.85714285714,125244.10714285714,125778.0,0.1948604415006993,2.941950522595693,2.537349472667505,1.0335428597132783,1.1438796325544844,1.3619883727957376,-0.1838894261971813,-0.1869246331537066,-0.0329896176653576,-0.1507082726470154,2.465205454652253,0.0590835162624925,0.7678960946560972,0.1768961743872751,1.3288659829409537,0.34879579568678176,320241.3950684853
3655.5,3656.800048828125,3643.0,3649.39990234375,1300.0,88.2676010131836,88.40850067138672,88.21690368652344,88.2676010131836,4.0,12.0,9.0,3.0,255.0,37.0,0.0,0.0,422.0,0.0,109160.0,109522.0,109309.0,106392.0,105829.5,125230.5,109330.33333333331,107676.42857142857,125244.10714285714,125778.0,-0.3305272000146075,1.379620987327557,4.416364558124397,0.7048036292764401,1.1438796325544844,1.3619883727957376,0.343699313581447,0.2432647523011866,0.1674266031859606,0.326324296856173,1.5640641193247928,0.3060313350493393,0.663969912215651,0.1974785145584579,1.3288659829409537,0.34879579568678176,322123.7745176293
3640.0,3686.39990234375,3635.10009765625,3682.199951171875,210.0,88.27729797363281,88.2970962524414,88.1260986328125,88.27729797363281,0.0,15.0,9.0,3.0,258.0,38.0,0.0,0.0,419.0,0.0,109774.0,109160.0,109522.0,107674.5,105848.0,125230.5,109485.33333333331,108239.92857142857,125244.10714285714,125778.0,0.5624770978380322,0.4253995553888501,3.727221615901044,0.6518019980700046,1.1438796325544844,1.3619883727957376,0.8987792433232666,0.0109858660911843,1.0593877615837854,0.0668774029877639,3.264341823709493,0.2319665860007091,0.5374999415694858,0.1968921925456078,1.3288659829409537,0.34879579568678176,325054.6622880958
