date,gold_999_am,gold_999_pm,gold_999_average,source
2026-07-22,145440,145283,145361.5,IBJA
2026-07-23,145557,144605,145081.0,IBJA
2026-07-24,142757,143781,143269.0,IBJA
2026-07-27,144532,144466,144499.0,IBJA
2026-07-28,142559,142291,142425.0,IBJA
2026-07-29,142469,142224,142346.5,IBJA
2026-07-30,142401,143384,142892.5,IBJA
2026-07-31,143329,142860,143094.5,IBJA
2026-08-03,142863,142557,142710.0,IBJA
2026-08-04,142938,142866,142902.0,IBJA
2026-08-05,145577,145626,145601.5,IBJA
2026-08-06,148361,148440,148400.5,IBJA
2026-08-07,149020,149621,149320.5,IBJA
2026-08-10,151061,150641,150851.0,IBJA
2026-08-11,152490,152803,152646.5,IBJA
2026-08-12,152961,153419,153190.0,IBJA
2026-08-13,152447,153071,152759.0,IBJA
2026-08-14,151493,152363,151928.0,IBJA
2026-08-17,154066,154167,154116.5,IBJA
2026-08-18,154162,154080,154121.0,IBJA
2026-08-19,152884,153868,153376.0,IBJA
2026-08-20,157387,157080,157233.5,IBJA
2026-08-21,159499,160620,160059.5,IBJA
2026-08-24,162603,162154,162378.5,IBJA
2026-08-25,162344,162041,162192.5,IBJA
2026-08-26,161431,161337,161384.0,IBJA
2026-08-27,158477,158386,158431.5,IBJA
2026-08-28,158226,159578,158902.0,IBJA
2026-08-31,155125,154504,154814.5,IBJA
2026-09-01,154798,153183,153990.5,IBJA
