date,usdinr_open,usdinr_high,usdinr_low,usdinr_close
2025-09-02,88.00140380859375,88.18800354003906,87.81549835205078,88.00140380859375
2025-09-03,87.99829864501953,88.17980194091797,87.9749984741211,87.99829864501953
2025-09-04,88.072998046875,88.36029815673828,87.9749984741211,88.072998046875
2025-09-05,88.19290161132812,88.35340118408203,87.80010223388672,88.19290161132812
2025-09-08,88.1863021850586,88.2229995727539,87.82779693603516,88.1863021850586
2025-09-09,87.98049926757812,88.21929931640625,87.90010070800781,87.98049926757812
2025-09-10,88.21829986572266,88.24929809570312,87.97789764404297,88.21829986572266
2025-09-11,88.05339813232422,88.49099731445312,88.02660369873047,88.05339813232422
2025-09-12,88.2676010131836,88.40850067138672,88.21690368652344,88.2676010131836
2025-09-15,88.27729797363281,88.2970962524414,88.1260986328125,88.27729797363281
2025-09-16,88.12349700927734,88.15509796142578,87.97969818115234,88.12349700927734
2025-09-17,87.88459777832031,87.91310119628906,87.7157974243164,87.88459777832031
2025-09-18,87.91069793701172,88.28880310058594,87.80690002441406,87.91069793701172
2025-09-19,88.20690155029297,88.32949829101562,88.0625991821289,88.20690155029297
2025-09-22,88.09919738769531,88.33670043945312,88.09919738769531,88.09919738769531
2025-09-23,88.30439758300781,88.80809783935547,88.23500061035156,88.30439758300781
2025-09-24,88.80799865722656,88.9312973022461,88.67250061035156,88.80799865722656
2025-09-25,88.77860260009766,88.80039978027344,88.59010314941406,88.77860260009766
2025-09-26,88.77310180664062,88.77909851074219,88.61430358886719,88.77310180664062
2025-09-29,88.67680358886719,88.79399871826172,88.5875015258789,88.67680358886719
2025-09-30,88.70449829101562,88.87529754638672,88.64579772949219,88.70449829101562
2025-10-01,88.8406982421875,88.8541030883789,88.6323013305664,88.8406982421875
2025-10-02,88.68299865722656,88.92150115966797,88.57060241699219,88.68299865722656
2025-10-03,88.72019958496094,88.7957992553711,88.6635971069336,88.72019958496094
2025-10-06,88.73509979248047,88.87969970703125,88.69200134277344,88.73509979248047
2025-10-07,88.72109985351562,88.77249908447266,88.68180084228516,88.72109985351562
2025-10-08,88.74259948730469,88.91950225830078,88.71910095214844,88.74259948730469
2025-10-09,88.7771987915039,88.86080169677734,88.70439910888672,88.7771987915039
2025-10-10,88.86540222167969,88.8656005859375,88.4928970336914,88.86540222167969
2025-10-13,88.7573013305664,88.80269622802734,88.56159973144531,88.7573013305664
2025-10-14,88.66510009765625,88.81790161132812,88.60079956054688,88.66510009765625
2025-10-15,88.78250122070312,88.78269958496094,87.95980072021484,88.78250122070312
2025-10-16,87.80950164794922,88.00150299072266,87.53189849853516,87.80950164794922
2025-10-17,87.9906997680664,88.09400177001953,87.689697265625,87.9906997680664
2025-10-20,88.0022964477539,88.01129913330078,87.49960327148438,88.0022964477539
2025-10-21,87.87999725341797,88.08360290527344,87.84190368652344,87.87999725341797
2025-10-22,88.00160217285156,87.99810028076172,87.61039733886719,88.00160217285156
2025-10-23,87.74030303955078,88.03109741210938,87.71610260009766,87.74030303955078
2025-10-24,87.77899932861328,87.8582992553711,87.63600158691406,87.77899932861328
