date,gold_999_am,gold_999_pm,gold_999_average,source,gold_usd_open,gold_usd_high,gold_usd_low,gold_usd_close,gold_usd_volume,usdinr_open,usdinr_high,usdinr_low,usdinr_close,target_gold_999
2025-09-02,104662,104424,104543.0,IBJA,3485.699951171875,3559.199951171875,3485.699951171875,3549.39990234375,658.0,88.00140380859375,88.18800354003906,87.81549835205078,88.00140380859375,104543.0
2025-09-03,105638,106021,105829.5,IBJA,3554.800048828125,3593.699951171875,3553.199951171875,3593.199951171875,72.0,87.99829864501953,88.17980194091797,87.9749984741211,87.99829864501953,105829.5
2025-09-04,105751,105945,105848.0,IBJA,3549.89990234375,3573.60009765625,3549.89990234375,3565.800048828125,237.0,88.072998046875,88.36029815673828,87.9749984741211,88.072998046875,105848.0
2025-09-05,106446,106338,106392.0,IBJA,3567.800048828125,3613.199951171875,3567.800048828125,3613.199951171875,925.0,88.19290161132812,88.35340118408203,87.80010223388672,88.19290161132812,106392.0
2025-09-08,107312,108037,107674.5,IBJA,3594.5,3641.0,3590.0,3638.10009765625,97.0,88.1863021850586,88.2229995727539,87.82779693603516,88.1863021850586,107674.5
2025-09-09,109143,109475,109309.0,IBJA,3647.10009765625,3670.39990234375,3627.800048828125,3643.300048828125,535.0,87.98049926757812,88.21929931640625,87.90010070800781,87.98049926757812,109309.0
2025-09-10,109409,109635,109522.0,IBJA,3625.0,3655.39990234375,3620.800048828125,3643.60009765625,136.0,88.21829986572266,88.24929809570312,87.97789764404297,88.21829986572266,109522.0
2025-09-11,109223,109097,109160.0,IBJA,3632.89990234375,3636.89990234375,3618.39990234375,3636.89990234375,307.0,88.05339813232422,88.49099731445312,88.02660369873047,88.05339813232422,109160.0
2025-09-12,109841,109707,109774.0,IBJA,3655.5,3656.800048828125,3643.0,3649.39990234375,1300.0,88.2676010131836,88.40850067138672,88.21690368652344,88.2676010131836,109774.0
2025-09-15,109603,109511,109557.0,IBJA,3640.0,3686.39990234375,3635.10009765625,3682.199951171875,210.0,88.27729797363281,88.2970962524414,88.1260986328125,88.27729797363281,109557.0
2025-09-16,110540,110869,110704.5,IBJA,3681.39990234375,3698.60009765625,3681.39990234375,3688.89990234375,373.0,88.12349700927734,88.15509796142578,87.97969818115234,88.12349700927734,110704.5
2025-09-17,109971,109733,109852.0,IBJA,3669.0,3685.199951171875,3661.60009765625,3681.800048828125,183.0,87.88459777832031,87.91310119628906,87.7157974243164,87.88459777832031,109852.0
2025-09-18,109264,110167,109715.5,IBJA,3654.60009765625,3667.39990234375,3637.0,3643.699951171875,80.0,87.91069793701172,88.28880310058594,87.80690002441406,87.91069793701172,109715.5
2025-09-19,109873,109775,109824.0,IBJA,3659.0,3685.89990234375,3658.199951171875,3671.5,211.0,88.20690155029297,88.32949829101562,88.0625991821289,88.20690155029297,109824.0
2025-09-22,111167,112155,111661.0,IBJA,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,88.09919738769531,88.33670043945312,88.09919738769531,88.09919738769531,111661.0
2025-09-23,113498,114314,113906.0,IBJA,3747.0,3786.0,3740.0,3780.60009765625,627.0,88.30439758300781,88.80809783935547,88.23500061035156,88.30439758300781,113906.0
2025-09-24,114044,113584,113814.0,IBJA,3769.800048828125,3772.5,3732.10009765625,3732.10009765625,588.0,88.80799865722656,88.9312973022461,88.67250061035156,88.80799865722656,113814.0
2025-09-25,113232,113349,113290.5,IBJA,3742.800048828125,3756.0,3724.699951171875,3736.89990234375,1899.0,88.77860260009766,88.80039978027344,88.59010314941406,88.77860260009766,113290.5
2025-09-26,113299,113262,113280.5,IBJA,3775.300048828125,3775.300048828125,3775.300048828125,3775.300048828125,19308.0,88.77310180664062,88.77909851074219,88.61430358886719,88.77310180664062,113280.5
2025-09-29,115292,115454,115373.0,IBJA,3754.800048828125,3827.60009765625,3754.800048828125,3820.89990234375,8860.0,88.67680358886719,88.79399871826172,88.5875015258789,88.67680358886719,115373.0
2025-09-30,116903,116435,116669.0,IBJA,3827.5,3865.5,3793.39990234375,3840.800048828125,1611.0,88.70449829101562,88.87529754638672,88.64579772949219,88.70449829101562,116669.0
2025-10-01,116586,117332,116959.0,IBJA,3863.5,3891.89990234375,3853.300048828125,3867.5,1778.0,88.8406982421875,88.8541030883789,88.6323013305664,88.8406982421875,116959.0
2025-10-03,116833,116954,116893.5,IBJA,3855.199951171875,3886.800048828125,3853.699951171875,3880.800048828125,392.0,88.72019958496094,88.7957992553711,88.6635971069336,88.72019958496094,116893.5
2025-10-06,119059,119249,119154.0,IBJA,3931.300048828125,3960.0,3926.800048828125,3948.5,1267.0,88.73509979248047,88.87969970703125,88.69200134277344,88.73509979248047,119154.0
2025-10-07,119967,119941,119954.0,IBJA,3959.39990234375,3981.5,3940.0,3976.60009765625,2903.0,88.72109985351562,88.77249908447266,88.68180084228516,88.72109985351562,119954.0
2025-10-08,121799,122098,121948.5,IBJA,3987.199951171875,4049.199951171875,3987.199951171875,4043.300048828125,2179.0,88.74259948730469,88.91950225830078,88.71910095214844,88.74259948730469,121948.5
2025-10-09,122570,122629,122599.5,IBJA,4011.199951171875,4046.199951171875,3940.0,3946.300048828125,3130.0,88.7771987915039,88.86080169677734,88.70439910888672,88.7771987915039,122599.5
2025-10-10,120845,121525,121185.0,IBJA,3957.0,4012.0,3945.5,3975.89990234375,1697.0,88.86540222167969,88.8656005859375,88.4928970336914,88.86540222167969,121185.0
2025-10-13,123769,124155,123962.0,IBJA,4016.0,4111.0,4016.0,4108.60009765625,1697.0,88.7573013305664,88.80269622802734,88.56159973144531,88.7573013305664,123962.0
2025-10-14,125682,126152,125917.0,IBJA,4131.7001953125,4160.10009765625,4085.800048828125,4138.7001953125,2424.0,88.66510009765625,88.81790161132812,88.60079956054688,88.66510009765625,125917.0
2025-10-15,126792,126284,126538.0,IBJA,4145.0,4210.60009765625,4145.0,4176.89990234375,3287.0,88.78250122070312,88.78269958496094,87.95980072021484,88.78250122070312,126538.0
2025-10-16,127247,127471,127359.0,IBJA,4198.7998046875,4307.0,4196.60009765625,4280.2001953125,4705.0,87.80950164794922,88.00150299072266,87.53189849853516,87.80950164794922,127359.0
2025-10-17,130874,129584,130229.0,IBJA,4354.7001953125,4358.0,4182.2001953125,4189.89990234375,4060.0,87.9906997680664,88.09400177001953,87.689697265625,87.9906997680664,130229.0
2025-10-20,126730,127633,127181.5,IBJA,4244.10009765625,4356.60009765625,4214.60009765625,4336.39990234375,1750.0,88.0022964477539,88.01129913330078,87.49960327148438,88.0022964477539,127181.5
