date,source,gold_usd_open,gold_usd_high,gold_usd_low,gold_usd_close,gold_usd_volume,usdinr_open,usdinr_high,usdinr_low,usdinr_close,target_gold_999,day_of_week,day_of_month,month,quarter,day_of_year,week_of_year,is_month_start,is_month_end,days_to_diwali,is_near_diwali,gold_lag_1,gold_lag_2,gold_lag_3,gold_lag_5,gold_lag_7,gold_lag_14,gold_ma_3,gold_ma_7,gold_ma_14,gold_ma_30,gold_return_1d,gold_return_3d,gold_return_7d,gold_volatility_7,gold_volatility_14,gold_volatility_30,gold_usd_return_1d,usdinr_return_1d,gold_usd_return_3d,usdinr_return_3d,gold_usd_return_7d,usdinr_return_7d,gold_usd_volatility_7,usdinr_volatility_7,gold_usd_volatility_14,usdinr_volatility_14,gold_inr_proxy
2025-09-02,IBJA,3485.699951171875,3559.199951171875,3485.699951171875,3549.39990234375,658.0,88.00140380859375,88.18800354003906,87.81549835205078,88.00140380859375,104543.0,1,2,9,3,245,36,0,0,432,0,,,,,,,,,,,,,,,,,,,,,,,,,,,312352.17408433557
2025-09-03,IBJA,3554.800048828125,3593.699951171875,3553.199951171875,3593.199951171875,72.0,87.99829864501953,88.17980194091797,87.9749984741211,87.99829864501953,105829.5,2,3,9,3,246,36,0,0,431,0,104543.0,,,,,,,,,,,,,,,,1.2340127918300414,-0.0035285386821515274,,,,,,,,,316195.48239449225
2025-09-04,IBJA,3549.89990234375,3573.60009765625,3549.89990234375,3565.800048828125,237.0,88.072998046875,88.36029815673828,87.9749984741211,88.072998046875,105848.0,3,4,9,3,247,36,0,0,430,0,105829.5,104543.0,,,,,,,,,1.2305941096008244,,,,,,-0.7625487786955487,0.08488732510250063,,,,,,,,,314050.70073598623
2025-09-05,IBJA,3567.800048828125,3613.199951171875,3567.800048828125,3613.199951171875,925.0,88.19290161132812,88.35340118408203,87.80010223388672,88.19290161132812,106392.0,4,5,9,3,248,36,0,0,429,0,105848.0,105829.5,104543.0,,,,105406.83333333333,,,,0.01748094812883405,,,,,,1.329292211977151,0.13614111829065578,1.797488324321983,0.21760766811276255,,,,,,,318658.58779575676
2025-09-08,IBJA,3594.5,3641.0,3590.0,3638.10009765625,97.0,88.1863021850586,88.2229995727539,87.82779693603516,88.1863021850586,107674.5,0,8,9,3,251,37,0,0,426,0,106392.0,105848.0,105829.5,,,,106023.16666666667,,,,0.5139445242234197,1.7686502204834476,,,,,0.6891438841157616,-0.007482944941095138,1.2495866384984122,0.21364451692122977,,,,,,,320830.59459140524
2025-09-09,IBJA,3647.10009765625,3670.39990234375,3627.800048828125,3643.300048828125,535.0,87.98049926757812,88.21929931640625,87.90010070800781,87.98049926757812,109309.0,1,9,9,3,252,37,0,0,425,0,107674.5,106392.0,105848.0,104543.0,,,106638.16666666667,,,,1.2054477780284234,1.7433702323076172,,,,,0.14293040412012292,-0.23337288488249897,2.173425288539943,-0.1050251284140935,,,,,,,320539.3572774902
2025-09-10,IBJA,3625.0,3655.39990234375,3620.800048828125,3643.60009765625,136.0,88.21829986572266,88.24929809570312,87.97789764404297,88.21829986572266,109522.0,2,10,9,3,253,37,0,0,424,0,109309.0,107674.5,106392.0,105829.5,,,107791.83333333333,,,,1.518001012310255,3.269783085178757,,,,,0.008235633192543723,0.27028784801652606,0.8413635252739082,0.02879852451898035,,,,,,,321432.2060058154
2025-09-11,IBJA,3632.89990234375,3636.89990234375,3618.39990234375,3636.89990234375,307.0,88.05339813232422,88.49099731445312,88.02660369873047,88.05339813232422,109160.0,3,11,9,3,254,37,0,0,423,0,109522.0,109309.0,107674.5,105848.0,104543.0,,108835.16666666667,107016.85714285714,,,0.19486044150069937,2.9419505225956932,,,,,-0.1838894261971813,-0.18692463315370667,-0.032989617665357684,-0.15070827264701547,2.465205454652253,0.05908351626249253,0.7678960946560972,0.17689617438727512,,,320241.3950684853
2025-09-12,IBJA,3655.5,3656.800048828125,3643.0,3649.39990234375,1300.0,88.2676010131836,88.40850067138672,88.21690368652344,88.2676010131836,109774.0,4,12,9,3,255,37,0,0,422,0,109160.0,109522.0,109309.0,106392.0,105829.5,,109330.33333333333,107676.42857142857,,,-0.33052720001460756,1.3796209873275567,4.416364558124397,0.7048036292764401,,,0.343699313581447,0.2432647523011866,0.1674266031859606,0.32632429685617304,1.5640641193247928,0.3060313350493393,0.663969912215651,0.19747851455845794,,,322123.7745176293
2025-09-15,IBJA,3640.0,3686.39990234375,3635.10009765625,3682.199951171875,210.0,88.27729797363281,88.2970962524414,88.1260986328125,88.27729797363281,109557.0,0,15,9,3,258,38,0,0,419,0,109774.0,109160.0,109522.0,107674.5,105848.0,,109485.33333333333,108239.92857142857,,,0.5624770978380322,0.4253995553888501,3.727221615901044,0.6518019980700046,,,0.8987792433232666,0.010985866091184349,1.0593877615837854,0.0668774029877639,3.2643418237094934,0.23196658600070919,0.5374999415694858,0.19689219254560789,,,325054.6622880958
