dataset,model,MAE,RMSE,MAPE,R2
validation,Linear Regression,2495.976312852865,2738.804606241582,1.7459135510484645,-1.3225263211018885
test,Linear Regression,2122.606075349774,2576.5593280147195,1.417787443460567,0.8408842306856259
