date,old_prediction,corrected_prediction,absolute_difference,percentage_difference
2026-09-02,141292.29224743822,141194.82111604337,-97.47113139485009,-0.06898545550110669
2026-09-03,140068.12262066262,138719.15174900374,-1348.9708716588793,-0.9630819964027143
2026-09-04,138995.1783698973,139266.62301901611,271.4446491188137,0.1952906944703065
2026-09-07,139461.73040276254,139655.65504168253,193.92463891999796,0.13905222483612364
2026-09-08,140370.59849035594,140455.2915620081,84.69307165214559,0.0603353355781014
2026-09-09,141015.6311557644,141182.07565178408,166.44449601968518,0.1180326568448517
2026-09-10,140698.88932455174,141122.41397904005,423.5246544883121,0.3010149238004025
2026-09-11,140110.16054675548,140194.5486451764,84.3880984209245,0.06022982065798416
2026-09-14,140618.89716792095,141317.68448522897,698.7873173080152,0.4969369916715773
2026-09-15,140059.75958643697,140616.22612080903,556.4665343720699,0.3973065040345512
2026-09-16,139740.55103660643,139715.57342010824,-24.97761649818858,-0.017874279379108394
2026-09-17,139574.9570460067,139531.9424878875,-43.01455811917549,-0.030818249225752607
2026-09-18,139756.7323149657,139796.54681768815,39.814502722467296,0.028488432766686694
2026-09-21,139384.3955514629,139426.7337773256,42.338225862709805,0.03037515476191011
2026-09-22,140240.5507690161,140256.1984752905,15.647706274408847,0.011157761566539682
2026-09-23,140448.33383835852,140865.00120638695,416.66736802842934,0.29666949876954063
2026-09-24,142090.90790013538,142069.27457607258,-21.633324062800966,-0.015224988271596759
2026-09-25,142244.67760167905,142443.69117590215,199.0135742230923,0.13990932917741952
2026-09-28,142717.49037726648,142780.25343590789,62.763058641401585,0.04397713165743779
2026-09-29,142774.37790567323,142807.52368796984,33.14578229660401,0.023215497614356574
2026-09-30,142378.66661859618,142320.5151744465,-58.15144414966926,-0.040842807093737776
2026-10-01,144449.78798011033,144405.82791490102,-43.96006520930678,-0.030432765477897243
2026-10-02,143402.91263418476,143565.46136923565,162.548735050892,0.11335106942042905
2026-10-05,143710.08044580545,143453.54491663497,-256.53552917047637,-0.1785090707448449
2026-10-06,143653.41913427442,143641.9738581173,-11.445276157115586,-0.007967284194201854
2026-10-07,143438.22956238117,143550.50793304777,112.27837066660868,0.0782764615884909
2026-10-08,143391.70433912985,143436.00144776865,44.29710863879882,0.030892378916170447
2026-10-09,143401.78798577742,143516.0472343946,114.2592486171634,0.0796777015280281
2026-10-12,143757.80631222308,143952.3965025266,194.59019030351192,0.13535973822589334
2026-10-13,143728.997578345,143754.44238804682,25.444809701817576,0.017703323706789165
2026-10-14,143349.5782222199,143467.814092491,118.23587027110625,0.0824807939705393
2026-10-15,143367.05665120378,143473.75445841142,106.69780720764538,0.07442282048604051
2026-10-16,140578.54611096176,140811.7040323118,233.1579213500372,0.16585597717449752
2026-10-19,140621.31718886958,140345.65414976457,-275.663039105013,-0.1960321838934049
2026-10-20,140845.33477166388,140953.8626919845,108.52792032063007,0.07705467880535322
2026-10-21,140754.47202409303,140861.459224633,106.98720053996658,0.07600980558660582
2026-10-22,141002.84800655878,140911.1385813884,-91.70942517038202,-0.06504083177533843
2026-10-23,141259.4916753206,141340.31092946837,80.81925414776197,0.05721332647403393
2026-10-26,141643.58652591275,141773.20512780512,129.61860189237632,0.09151039243747436
2026-10-27,141520.73318085278,141567.72379163152,46.99061077873921,0.03320404701316009
2026-10-28,141607.57727917348,141709.55783319823,101.98055402474711,0.07201631154503595
2026-10-29,141574.83585642593,141674.30901957134,99.47316314541968,0.07026189544468026
2026-10-30,141519.6334632432,141464.74297937122,-54.89048387197545,-0.03878647967685142
2026-11-02,141857.29161977,141777.56512090308,-79.72649886691943,-0.05620190400971134
2026-11-03,141954.04773306614,141946.99537143554,-7.052361630601808,-0.004968059553936244
2026-11-04,142008.08843690157,141940.98371894844,-67.1047179531306,-0.04725415199356566
2026-11-05,142185.00375320466,142077.05031811754,-107.95343508711085,-0.07592462794071399
2026-11-06,142180.2330898245,142179.1036820872,-1.1294077372876927,-0.0007943493358701785
2026-11-09,142704.5812152283,142615.1586706051,-89.42254462320125,-0.06266270070778833
