date,forecast_gold_999,gold_usd_close_forecast,usdinr_close_forecast,gold_inr_proxy,days_to_diwali,is_near_diwali
2026-09-02,141194.82111604337,4346.018898442757,95.30717948884038,414206.80321577616,67,0
2026-09-03,138719.15174900374,4351.898801462311,95.47529717329869,415498.8313377365,66,0
2026-09-04,139266.62301901611,4347.07270878403,95.61102942812094,415628.09668573126,65,0
2026-09-07,139655.65504168253,4346.387576722714,95.70614864123816,415976.01547025493,62,0
2026-09-08,140455.2915620081,4345.844452476511,95.80116117397868,416336.94482874335,61,0
2026-09-09,141182.07565178408,4344.246085264943,95.89813577828676,416605.1009390282,60,0
2026-09-10,141122.41397904005,4343.006749994416,95.99375009548324,416901.5046219608,59,0
2026-09-11,140194.5486451764,4341.793174225013,96.08485754362732,417180.57862930384,58,0
2026-09-14,141317.68448522897,4340.477730976794,96.1718718589734,417431.8681502279,55,0
2026-09-15,140616.22612080903,4339.183268807094,96.2556414425962,417670.86887600814,54,0
2026-09-16,139715.57342010824,4337.882252785527,96.33661047911274,417896.87289085536,53,0
2026-09-17,139531.9424878875,4336.562425201344,96.41487976579418,418109.14482264844,52,0
2026-09-18,139796.54681768815,4335.234941439923,96.49054129043785,418309.1661207578,51,0
2026-09-21,139426.7337773256,4333.897829374225,96.56374263422,418497.39459869737,48,0
2026-09-22,140256.1984752905,4332.550134553586,96.63464805817328,418674.4574469771,47,0
2026-09-23,140865.00120638695,4331.193063879236,96.70340575353684,418841.1202532182,46,0
2026-09-24,142069.27457607258,4329.826677210001,96.77014720790334,418997.9649383188,45,0
2026-09-25,142443.69117590215,4328.451090584609,96.8349943688366,419145.5369825453,44,0
2026-09-28,142780.25343590789,4327.0666143943245,96.89806295815076,419284.37322569353,41,0
2026-09-29,142807.52368796984,4325.673454635575,96.95946236155518,419414.9725131164,40,0
2026-09-30,142320.5151744465,4324.271814819433,97.01929524069372,419537.803902977,39,0
2026-10-01,144405.82791490102,4322.86191155024,97.0776577753141,419653.30925941427,38,0
2026-10-02,143565.46136923565,4321.443947738645,97.13464018024078,419761.9029226725,37,0
2026-10-05,143453.54491663497,4320.018121294004,97.19032715192115,419863.97451079206,34,0
2026-10-06,143641.9738581173,4318.584626899037,97.24479820881098,419959.8905904701,33,0
2026-10-07,143550.50793304777,4317.143653714085,97.2981279913556,420049.99577614164,32,0
2026-10-08,143436.00144776865,4315.695386211924,97.35038655472592,420134.614100178,31,0
2026-10-09,143516.0472343946,4314.240004463865,97.4016396519608,420214.0502868632,30,1
2026-10-12,143952.3965025266,4312.777684035786,97.45194900017044,420288.5909137286,27,1
2026-10-13,143754.44238804682,4311.30859615733,97.50137252863992,420358.5055198634,26,1
2026-10-14,143467.814092491,4309.832907846128,97.5499646109798,420424.04763962596,25,1
2026-10-15,143473.75445841142,4308.350781992765,97.59777628317067,420485.4557703533,24,1
2026-10-16,140811.7040323118,4306.862377467412,97.6448554484402,420542.95428413094,23,1
2026-10-19,140345.65414976457,4305.367849220754,97.69124706960818,420596.75428377226,20,1
2026-10-20,140953.8626919845,4303.867348379033,97.73699334959174,420647.0544060466,19,1
2026-10-21,140861.459224633,4302.361022338812,97.78213390080816,420694.0415759516,18,1
2026-10-22,140911.1385813884,4300.849014859199,97.8267059041796,420737.89171491144,17,1
2026-10-23,141340.31092946837,4299.331466151453,97.8707442583828,420778.77040572686,16,1
2026-10-26,141773.20512780512,4297.80851296658,97.914281719939,420816.8335169618,13,1
2026-10-27,141567.72379163152,4296.280288680739,97.95734903470468,420852.227789221,12,1
2026-10-28,141709.55783319823,4294.746923378523,97.99997506129044,420885.0913856491,11,1
2026-10-29,141674.30901957134,4293.208543934183,98.04218688690382,420915.55440884735,10,1
2026-10-30,141464.74297937122,4291.6652740908685,98.08400993608198,420943.73938626674,9,1
2026-11-02,141777.56512090308,4290.117234537893,98.1254680727499,420969.7617260021,6,1
2026-11-03,141946.99537143554,4288.564542986093,98.16658369601396,420993.7301448022,5,1
2026-11-04,141940.98371894844,4287.007314241348,98.20737783007584,421015.7470699987,4,1
2026-11-05,142077.05031811754,4285.445660276257,98.24787020862688,421035.909016945,3,1
2026-11-06,142179.1036820872,4283.879690300068,98.28807935406252,421054.3069434699,2,1
2026-11-09,142615.1586706051,4282.309510826875,98.3280226518341,421071.0265827496,-1,1
